fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20220928 202802	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	975	TRUE	113111	0.0100131710209647	0.692706190080746	2699	37	10297	26210000	62
20220928 202904	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	103	TRUE	113111	0.03380698972426	0.595149420105759	838	378	9389	26270000	63
20220928 203047	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	314	TRUE	113111	0.0460950193255227	0.86193108809241	439	549	9645	26550000	64
20220928 203256	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	303	TRUE	113111	0.0443263304010584	0.477350770015423	1	489	10545	23790000	65
20220928 203328	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	72	TRUE	113111	0.0422194249238974	0.976866697224099	3334	475	9311	25700000	66
20220928 203417	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	314	TRUE	113111	0.053369469122295	0.714826988453957	3924	541	9808	25910000	67
20220928 203510	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	136	TRUE	113111	0.0397839050121012	0.292201145355477	2435	76	9413	26140000	68
20220928 204317	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1033	TRUE	113111	0.0050169561152139	0.424305849872426	110	160	8190	26980000	69
20220928 204538	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	536	TRUE	113111	0.00763478403514855	0.868437854997616	124	19	9758	26170000	70
20220928 204631	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	119	TRUE	113111	0.037996179985836	0.29724740861355	2091	450	9086	26630000	71
20220928 204723	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	132	TRUE	113111	0.0411318570054613	0.358539310504878	2077	587	9301	26600000	72
20220928 204832	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	204	TRUE	113111	0.0292861910239617	0.389809200195739	3764	448	9495	26290000	73
20220928 205143	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	397	TRUE	113111	0.0114120336470514	0.2671587283515	642	300	9284	26480000	74
20220928 205242	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	212	TRUE	113111	0.0427076544903596	0.528270582668404	2786	463	9196	25850000	75
20220928 210025	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2333	TRUE	113111	0.00509269365208405	0.77149721147277	1228	45	8887	26470000	76
20220928 210233	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	378	TRUE	113111	0.0140534897882476	0.226138128216473	292	20	9230	27540000	77
20220928 210510	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	163	TRUE	113111	0.0168853880275591	0.340317646113175	112	405	8411	26300000	78
20220928 210846	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	785	TRUE	113111	0.00703395060861257	0.225030724787878	2156	18	9218	26690000	79
